Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-February-2019,2824.00,2872.25,2805.70,2818.55,2841.116669035100184737,21111,1325,59978814.00,2913,13.80,66.55,-5.45
13-February-2019,2849.90,2849.90,2815.65,2824.15,2824.457367762819098065,13593,720,38392849.00,3785,27.85,34.25,-25.75
12-February-2019,2851.00,2853.00,2816.60,2832.45,2833.058006481910179244,15119,766,42833004.00,3409,22.55,36.40,-18.55
11-February-2019,2850.00,2868.85,2819.00,2852.00,2846.791205742622325484,28837,1517,82092918.00,5230,18.14,49.85,2.00
8-February-2019,2855.50,2880.00,2832.10,2848.10,2851.114314734117492873,30521,1610,87018860.00,3334,10.92,47.90,-7.40
7-February-2019,2781.10,2868.80,2775.45,2855.50,2844.139131077286833160,54136,3252,153970316.00,8755,16.17,93.35,74.40
6-February-2019,2709.00,2785.00,2709.00,2771.45,2747.243592015119300732,33864,1708,93032657.00,5713,16.87,76.00,62.45
5-February-2019,2672.00,2722.60,2617.60,2712.50,2692.755643576151051283,33578,1772,90417349.00,4916,14.64,105.00,40.50
4-February-2019,2603.00,2669.75,2566.65,2646.10,2637.517668638840433758,55607,2809,146664445.00,7725,13.89,103.10,43.10
1-February-2019,2560.00,2669.50,2545.05,2602.70,2603.624062011665867281,64633,3529,168280034.00,6287,9.73,124.45,42.70
31-January-2019,2498.80,2565.00,2461.00,2553.35,2509.448468629200118941,50445,3049,126589128.00,5834,11.57,104.00,54.55
30-January-2019,2594.00,2651.45,2483.95,2498.85,2541.020132700758039950,171363,9476,435436833.00,20595,12.02,167.50,-95.15
29-January-2019,2593.00,2595.45,2523.90,2566.90,2575.225544794188861985,24780,1338,63814089.00,9626,38.85,71.55,-26.10
28-January-2019,2635.05,2635.05,2547.05,2563.80,2573.975655264326965792,22510,1361,57940192.00,5049,22.43,88.00,-71.25
25-January-2019,2650.00,2668.35,2615.00,2623.80,2644.478601252609603340,11496,789,30400926.00,2071,18.01,53.35,-26.20
24-January-2019,2679.00,2681.35,2637.05,2647.80,2655.352212711710071025,10982,947,29161078.00,2364,21.53,44.30,-31.20
23-January-2019,2688.30,2698.05,2665.20,2677.40,2680.518674561603279435,8782,528,23540315.00,1606,18.29,32.85,-10.90
22-January-2019,2685.45,2694.95,2651.05,2683.95,2668.404653061224489795,12250,701,32687957.00,1825,14.90,43.90,-1.50
